GRADES,SCORES,ATTENDANCE,ENGAGEMENT,STUDY HOURS,STYLE,INTEREST,MANAGEMENT,CONSISTENCY,MENTAL_CONDITION,RESPONSE_TO_FEEDBACK,HEALTH_CONDITION,FAST_LEARNER
B,384,74,POSITIVE,1.3,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NO
C+,482,77,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NO
A,379,66,POSITIVE,2.8,AUDITORY,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NO
A,706,84,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,672,89,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,834,95,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,402,73,NEGATIVE,2.0,VISUAL,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C+,333,69,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,58,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,742,94,POSITIVE,2.6,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,58,NEGATIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,775,87,POSITIVE,2.9,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NO
C,554,65,NEGATIVE,1.5,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,638,69,NEGATIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,347,81,NEGATIVE,1.3,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A,746,88,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,656,71,POSITIVE,2.5,KINESTHETIC,YES,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,POSITIVE,YES
A,750,94,POSITIVE,2.3,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,738,92,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,552,75,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NO
A,739,85,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,706,79,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,394,63,NEGATIVE,1.8,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,706,95,POSITIVE,1.0,VISUAL,YES,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C,333,67,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,930,85,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,416,78,POSITIVE,1.0,VISUAL,NO,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,421,70,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,665,91,POSITIVE,2.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,689,88,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,865,91,POSITIVE,3.1,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,834,90,POSITIVE,2.8,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,333,63,NEGATIVE,1.2,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,675,92,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,744,93,POSITIVE,2.6,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,356,65,NEGATIVE,1.5,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,333,68,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,333,90,NEGATIVE,2.7,KINESTHETIC,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B+,333,73,NEGATIVE,1.3,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,382,65,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,333,74,NEGATIVE,1.5,VISUAL,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B,543,64,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,864,95,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,58,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,66,NEGATIVE,1.6,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,767,89,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,801,95,POSITIVE,2.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,721,87,POSITIVE,3.1,KINESTHETIC,YES,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,64,NEGATIVE,1.8,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,890,92,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,708,94,POSITIVE,3.0,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,758,85,POSITIVE,2.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,766,95,POSITIVE,3.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C-,333,69,NEGATIVE,2.0,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,695,81,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,491,69,NEGATIVE,1.5,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,656,88,POSITIVE,2.5,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
A,747,90,POSITIVE,2.6,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,747,73,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,494,67,NEGATIVE,2.4,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,709,84,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,777,90,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,65,NEGATIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,64,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,371,66,POSITIVE,2.3,VISUAL,NO,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,YES
C,333,94,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,835,85,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,63,NEGATIVE,1.4,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,607,79,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,415,70,NEGATIVE,1.2,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,770,94,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,66,NEGATIVE,1.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B+,466,72,POSITIVE,2.7,KINESTHETIC,YES,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,YES
A,734,95,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,778,85,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,474,69,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C,351,67,NEGATIVE,1.6,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,828,91,POSITIVE,2.4,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,408,67,NEGATIVE,1.6,AUDITORY,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B+,725,92,POSITIVE,3.3,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,67,POSITIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,60,NEGATIVE,1.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,827,85,POSITIVE,3.5,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,672,89,POSITIVE,3.2,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,371,73,NEGATIVE,1.7,AUDITORY,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NO
C+,365,66,NEGATIVE,1.9,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,75,NEGATIVE,1.5,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A-,657,88,POSITIVE,2.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,370,88,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NO
B+,516,62,NEGATIVE,2.7,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,777,90,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,YES
B+,626,90,POSITIVE,2.6,VISUAL,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,65,NEGATIVE,1.8,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,78,NEGATIVE,1.0,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,702,95,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,660,86,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,739,68,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,670,94,POSITIVE,3.1,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,395,65,NEGATIVE,1.9,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,65,NEGATIVE,1.9,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,710,95,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,363,69,NEGATIVE,1.3,AUDITORY,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,333,73,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,65,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,333,65,NEGATIVE,1.1,KINESTHETIC,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,380,77,NEGATIVE,3.4,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NO
A,692,95,POSITIVE,2.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,791,87,POSITIVE,2.8,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,74,NEGATIVE,1.4,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,660,88,POSITIVE,3.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,333,81,POSITIVE,2.4,KINESTHETIC,YES,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,YES
A,386,66,NEGATIVE,3.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,386,76,NEGATIVE,1.5,AUDITORY,YES,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
B+,736,90,POSITIVE,2.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,67,NEGATIVE,2.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,665,95,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,467,73,NEGATIVE,1.3,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,749,93,POSITIVE,3.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,74,NEGATIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A+,834,92,POSITIVE,2.8,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,626,84,POSITIVE,3.1,VISUAL,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,744,89,POSITIVE,2.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,751,70,NEGATIVE,2.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,811,92,POSITIVE,2.2,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,713,86,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,746,92,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,373,92,NEGATIVE,1.2,KINESTHETIC,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C-,333,64,NEGATIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,406,74,POSITIVE,1.2,AUDITORY,NO,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NO
A-,854,88,POSITIVE,3.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,772,89,POSITIVE,3.6,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,404,75,POSITIVE,2.6,VISUAL,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NO
A+,523,69,POSITIVE,3.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,716,91,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,64,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,475,74,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,79,NEGATIVE,1.2,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A,586,89,POSITIVE,2.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,333,82,NEGATIVE,1.3,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,66,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B,385,69,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,715,90,POSITIVE,2.2,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,736,92,POSITIVE,2.6,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,779,95,POSITIVE,2.8,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,63,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,333,67,NEGATIVE,1.2,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,818,95,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,769,84,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,774,95,POSITIVE,3.2,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,437,69,POSITIVE,2.9,VISUAL,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NO
A,734,89,POSITIVE,3.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,386,74,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,707,62,POSITIVE,2.7,VISUAL,NO,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,POSITIVE,NO
A+,828,85,POSITIVE,3.0,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,700,93,POSITIVE,3.2,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,335,67,NEGATIVE,1.3,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,769,91,POSITIVE,2.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B+,738,95,POSITIVE,3.4,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,726,95,POSITIVE,3.2,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,688,73,POSITIVE,3.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,516,69,NEGATIVE,1.0,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,744,83,POSITIVE,3.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,731,82,POSITIVE,2.7,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,711,94,POSITIVE,2.8,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,363,61,NEGATIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C+,333,71,NEGATIVE,1.7,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,425,67,POSITIVE,2.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,692,87,POSITIVE,2.7,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NO
B,333,67,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,640,85,POSITIVE,3.0,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,333,73,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
C,333,68,NEGATIVE,1.2,KINESTHETIC,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,747,95,POSITIVE,1.9,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,737,95,POSITIVE,2.9,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,471,71,POSITIVE,1.0,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
A,695,88,POSITIVE,2.8,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,697,95,POSITIVE,3.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,698,94,POSITIVE,2.9,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,361,73,NEGATIVE,1.0,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,382,71,POSITIVE,1.0,KINESTHETIC,YES,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,YES
A,676,74,POSITIVE,3.1,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,671,85,POSITIVE,3.5,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
B,333,60,NEGATIVE,1.0,KINESTHETIC,NO,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NEGATIVE,NO
C,422,64,NEGATIVE,1.1,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,815,88,POSITIVE,2.9,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,638,87,POSITIVE,3.5,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,808,93,POSITIVE,2.7,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,695,90,POSITIVE,2.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C+,656,66,POSITIVE,3.1,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,421,84,POSITIVE,2.6,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A+,878,95,POSITIVE,2.6,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A-,333,74,NEGATIVE,1.2,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,659,83,POSITIVE,2.6,AUDITORY,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
A,756,94,POSITIVE,2.0,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,333,62,NEGATIVE,1.4,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
A,681,91,POSITIVE,2.7,VISUAL,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
C,722,68,NEGATIVE,1.0,VISUAL,NO,POSITIVE,NEGATIVE,NEGATIVE,POSITIVE,NEGATIVE,NO
B+,458,74,POSITIVE,1.3,KINESTHETIC,YES,NEGATIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
A,598,93,POSITIVE,2.8,KINESTHETIC,NO,POSITIVE,POSITIVE,POSITIVE,POSITIVE,NEGATIVE,YES
C,525,68,NEGATIVE,2.6,VISUAL,NO,POSITIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,YES
C+,455,63,NEGATIVE,1.9,VISUAL,NO,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NEGATIVE,NO
B+,458,69,NEGATIVE,1.1,KINESTHETIC,NO,NEGATIVE,NEGATIVE,POSITIVE,POSITIVE,NEGATIVE,NO
A-,722,94,POSITIVE,2.3,KINESTHETIC,YES,POSITIVE,POSITIVE,POSITIVE,POSITIVE,POSITIVE,YES
